Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379721_counts.txt" "data/mapped/SRR10379721.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379721_counts.txt" "data/mapped/SRR10379721.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379722_counts.txt" "data/mapped/SRR10379722.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379723_counts.txt" "data/mapped/SRR10379723.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379724_counts.txt" "data/mapped/SRR10379724.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379725_counts.txt" "data/mapped/SRR10379725.bam" 	# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "locus_tag" "-s" "1" "-a" "data/genome/genome.gff" "-o" "data/counts/SRR10379726_counts.txt" "data/mapped/SRR10379726.bam" 
Geneid	data/mapped/SRR10379721.bam	data/mapped/SRR10379722.bam	data/mapped/SRR10379723.bam	data/mapped/SRR10379724.bam	data/mapped/SRR10379725.bam	data/mapped/SRR10379726.bam
SAOUHSC_00093	4023	2423	2816	1208	1224	338
SAOUHSC_00094	70647	59867	47328	38075	58503	15885
SAOUHSC_00096	1888	1345	1410	1240	1334	249
SAOUHSC_00097	6006	6166	3689	1282	2826	344
SAOUHSC_00099	11013	12207	7924	3293	5411	350
SAOUHSC_00100	14801	14922	11118	6061	8485	3705
SAOUHSC_00101	19071	21718	12674	12680	16509	6257
SAOUHSC_00102	310	169	166	127	78	24
SAOUHSC_00103	174	90	111	60	67	4
SAOUHSC_00104	194	112	128	56	68	8
SAOUHSC_00105	261	138	145	85	73	5
SAOUHSC_00106	1113	822	777	725	911	293
SAOUHSC_00107	2039	1670	1453	1607	2236	465
SAOUHSC_00108	18	11	11	3	18	0
SAOUHSC_00109	74	29	36	55	53	3
SAOUHSC_00111	17	11	15	52	31	40
SAOUHSC_00113	2253	1449	1340	8549	21350	5722
SAOUHSC_00114	1354	1520	981	6040	11177	1017
SAOUHSC_00115	1666	1952	1136	6867	12798	2244
SAOUHSC_00116	2039	2455	1424	6831	15397	2338
SAOUHSC_00117	4229	5141	2629	11006	23244	8759
SAOUHSC_00118	2321	2745	1586	5497	13635	4275
SAOUHSC_00119	2523	2909	1610	5262	14191	2411
SAOUHSC_00120	2546	3034	1698	5760	14323	5601
SAOUHSC_00121	1135	1164	746	2601	6786	1686
SAOUHSC_00122	1743	1758	1076	4085	10770	1358
SAOUHSC_00123	1161	1125	739	2859	7592	2212
SAOUHSC_00124	771	690	608	2114	5577	724
SAOUHSC_00125	2580	2657	1643	4474	14851	4645
SAOUHSC_00126	1212	1239	824	2084	8211	3292
SAOUHSC_00127	2451	2405	1589	3979	10865	1819
SAOUHSC_00128	3676	3582	2214	5304	17604	5615
SAOUHSC_00129	4214	3887	2754	5564	15407	5463
SAOUHSC_00130	1112	920	738	592	881	56
SAOUHSC_00131	779	640	533	487	735	38
SAOUHSC_00132	12570	13569	4556	22155	33328	3094
SAOUHSC_00133	656	562	384	1364	1571	174
SAOUHSC_00134	36	32	16	110	63	10
SAOUHSC_00135	1477	839	945	263	334	114
SAOUHSC_00136	377	196	219	31	40	10
SAOUHSC_00137	582	333	344	83	117	58
SAOUHSC_00138	467	267	258	69	97	17
SAOUHSC_00139	1328	786	835	1020	1825	290
SAOUHSC_00141	31944	19816	20392	5648	5388	287
SAOUHSC_00142	1819	1660	1168	268	243	84
SAOUHSC_00143	11495	5968	6820	1911	2338	316
SAOUHSC_00144	132810	76747	76111	59652	68080	14060
SAOUHSC_00145	20683	12186	11704	7413	7409	1046
SAOUHSC_00146	3855	2150	3232	3674	3446	1956
SAOUHSC_00147	3018	1607	2698	400	475	55
SAOUHSC_00148	3214	1800	3021	422	595	148
SAOUHSC_00149	861	463	732	151	216	37
SAOUHSC_00150	1022	615	966	152	287	41
SAOUHSC_00151	2100	1527	1601	6674	7490	348
SAOUHSC_00152	1614	1323	832	864	842	325
SAOUHSC_00153	2747	2460	1262	1412	2956	424
SAOUHSC_00154	42	24	25	14	5	0
SAOUHSC_00155	5498	3487	3547	13064	13086	3478
SAOUHSC_00156	3146	3866	2080	6873	16930	1773
SAOUHSC_00157	1926	2708	1393	2466	7998	2484
SAOUHSC_00158	3423	4489	2306	3392	9268	2960
SAOUHSC_00160	2618	3054	1701	1776	3738	384
SAOUHSC_00161	93	39	48	83	146	9
SAOUHSC_00162	2830	2390	1768	4384	5677	659
SAOUHSC_00163	1196	1019	742	3091	4801	249
SAOUHSC_00164	1164	1092	672	2660	3139	289
SAOUHSC_00166	1700	1543	1106	2850	5035	484
SAOUHSC_00167	3912	2467	2792	634	763	198
SAOUHSC_00168	176	122	98	66	67	15
