Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
SAOUHSC_00148	956	564	561	380	390	114
SAOUHSC_00149	225	128	134	118	116	7
SAOUHSC_00150	105	49	54	34	26	3
SAOUHSC_00151	583	326	344	149	134	31
SAOUHSC_00152	175	124	107	344	311	43
SAOUHSC_00153	750	481	443	227	183	72
SAOUHSC_00154	122	71	99	21	14	3
SAOUHSC_00155	174	110	102	16	14	1
SAOUHSC_00156	232	144	155	33	35	8
SAOUHSC_00157	139	105	87	52	38	3
SAOUHSC_00158	21	15	19	40	130	1
SAOUHSC_00160	517	296	323	196	155	8
SAOUHSC_00161	54	19	42	24	36	1
SAOUHSC_00162	62	44	48	42	17	1
SAOUHSC_00163	56	46	61	12	10	3
SAOUHSC_00164	177	124	116	72	42	9
SAOUHSC_00166	1650	1236	1336	325	308	30
SAOUHSC_00167	774	592	632	71	71	8
SAOUHSC_00168	968	777	945	48	30	7
SAOUHSC_00169	4035	3839	3587	334	214	32
SAOUHSC_00170	103	37	69	34	36	0
SAOUHSC_00171	74	34	33	15	19	0
SAOUHSC_00172	123	82	78	24	19	3
SAOUHSC_00173	253	169	173	62	51	3
SAOUHSC_00174	287	170	209	109	97	12
SAOUHSC_00175	371	279	226	159	194	29
SAOUHSC_00176	173	132	116	41	53	2
SAOUHSC_00177	295	213	216	59	31	6
SAOUHSC_00178	267	252	207	93	112	16
SAOUHSC_00179	268	177	204	73	49	9
SAOUHSC_00180	14	12	9	7	11	1
SAOUHSC_00181	119	103	96	33	32	9
SAOUHSC_00182	52	28	27	30	22	5
SAOUHSC_00183	155	75	112	123	97	15
SAOUHSC_00184	219	144	151	98	109	12
SAOUHSC_00185	458	286	248	358	258	73
SAOUHSC_00186	61	37	29	35	37	1
SAOUHSC_00187	147	85	107	115	131	6
SAOUHSC_00188	43	15	29	9	12	0
SAOUHSC_00190	536	585	372	205	189	12
SAOUHSC_00191	236	375	286	312	185	2
SAOUHSC_00192	235	189	144	53	34	9
SAOUHSC_00193	406	243	272	98	47	8
SAOUHSC_00195	268	142	124	58	54	12
SAOUHSC_00196	374	204	199	115	76	15
SAOUHSC_00197	374	191	266	118	88	23
SAOUHSC_00198	120	63	87	16	7	3
SAOUHSC_00199	163	108	89	185	227	11
SAOUHSC_00200	283	174	216	262	282	33
SAOUHSC_00201	68	35	57	66	53	7
SAOUHSC_00202	539	355	360	433	603	36
SAOUHSC_00203	1	1	4	0	2	0
SAOUHSC_00204	181	97	94	93	112	11
SAOUHSC_00205	341	260	139	234	170	179
SAOUHSC_00206	441	405	412	622	589	259
SAOUHSC_00208	153	118	83	67	66	9
SAOUHSC_00209	3	0	3	0	0	0
SAOUHSC_00211	461	232	237	292	284	12
SAOUHSC_00212	54	28	42	9	4	1
SAOUHSC_00213	13	6	11	5	0	0
SAOUHSC_00214	279	144	161	67	52	9
SAOUHSC_00215	194	109	107	29	35	3
SAOUHSC_00216	10	8	18	3	1	0
SAOUHSC_00217	260	140	154	79	71	16
SAOUHSC_00218	103	60	69	22	31	0
SAOUHSC_00219	137	66	67	17	8	1
SAOUHSC_00220	265	161	169	50	39	2
SAOUHSC_00221	181	88	82	59	42	2
SAOUHSC_00222	77	41	46	57	70	3
SAOUHSC_00223	188	118	101	172	203	40
SAOUHSC_00225	156	88	75	46	37	4
SAOUHSC_00226	126	86	66	53	50	1
SAOUHSC_00227	217	95	117	53	51	7
SAOUHSC_00228	214	129	142	51	29	6
SAOUHSC_00229	102	55	60	46	39	5
SAOUHSC_00230	60	36	31	32	23	3
SAOUHSC_00231	111	70	61	31	31	4
SAOUHSC_00232	42	8	16	12	24	3
SAOUHSC_00233	188	86	88	43	40	2
SAOUHSC_00234	231	157	141	40	44	4
SAOUHSC_00235	529	386	340	162	161	10
SAOUHSC_00236	4	0	2	2	1	0
SAOUHSC_00237	237	148	122	76	65	11
SAOUHSC_00238	180	96	104	77	50	10
SAOUHSC_00239	576	419	374	153	127	55
SAOUHSC_00240	864	553	509	203	118	40
SAOUHSC_00241	1	1	0	1	1	0
SAOUHSC_00242	8	7	9	7	2	0
SAOUHSC_00243	452	437	356	269	344	64
SAOUHSC_00244	323	184	180	176	156	16
SAOUHSC_00246	117	56	42	31	27	5
SAOUHSC_00247	45	24	21	29	25	3
SAOUHSC_00248	84	52	61	72	57	1
SAOUHSC_00249	448	211	244	147	170	21
SAOUHSC_00250	45	16	32	26	32	1
SAOUHSC_00251	20	11	19	7	9	1
SAOUHSC_00253	23	11	10	16	11	0
SAOUHSC_00254	97	59	55	45	25	4
SAOUHSC_00255	61	27	25	19	15	0
SAOUHSC_00256	378	234	244	160	131	10
SAOUHSC_00257	23	10	11	10	10	0
SAOUHSC_00258	22	12	27	21	11	0
SAOUHSC_00259	179	89	94	54	33	2
SAOUHSC_00260	721	411	380	202	152	17
SAOUHSC_00261	42	21	33	54	77	5
SAOUHSC_00262	34	26	16	3	7	1
SAOUHSC_00264	27	28	34	7	9	1
SAOUHSC_00265	24	23	16	6	0	0
SAOUHSC_00266	266	170	176	49	21	2
SAOUHSC_00267	61	25	40	37	17	1
SAOUHSC_00268	246	185	207	419	567	35
SAOUHSC_00269	125	94	94	190	269	6
SAOUHSC_00270	13	5	17	0	0	0
SAOUHSC_00271	27	18	30	21	8	1
SAOUHSC_00272	31	28	27	9	21	1
SAOUHSC_00274	28	13	9	14	14	0
