"gene","per_1","per_2","per_3","control_1","control_2","control_3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00075",281,162,124,67,51,17,102.373411522882,1.86361220383484,0.416572104077549,4.47368459287881,7.688312555804e-06,3.14642383749283e-05
"SAOUHSC_00076",405,236,191,166,151,77,198.206695345838,0.556159173145553,0.505455551734694,1.10031272035068,0.271195891709008,0.359803086002144
"SAOUHSC_00077",890,486,418,394,413,92,392.431895290413,0.844836298747053,0.315790510309612,2.6753061639463,0.00746610332758252,0.0157209643454177
"SAOUHSC_00078",594,299,288,232,217,130,293.754399747049,0.384676622386407,0.55468715454014,0.693501948328552,0.487994603561763,0.572910930710325
"SAOUHSC_00079",882,529,393,371,383,79,380.343956894983,0.996907260601169,0.308913413946686,3.22714137875935,0.00125033664775219,0.00320690470263356
"SAOUHSC_00080",1247,726,655,568,603,183,606.532835347955,0.662857560133733,0.36818853254633,1.80032103539326,0.0718099612800806,0.115881216874098
"SAOUHSC_00081",632,371,357,303,397,167,368.990874629996,0.14161475664175,0.486894334224261,0.29085316194401,0.771163624669068,0.823520746016743
"SAOUHSC_00082",1149,640,618,506,761,167,572.694718201364,0.551445057284602,0.331820174712425,1.66187923251658,0.0965369914631504,0.14985617402514
"SAOUHSC_00083",1286,711,768,541,807,201,654.721439792597,0.58523291074401,0.35954951296813,1.62768378105378,0.103591953894739,0.159105053893626
"SAOUHSC_00084",71,55,49,199,240,16,80.2704243314039,-1.18240952222104,0.389448510399798,-3.03611258137106,0.0023964986457605,0.00570397261994592
"SAOUHSC_00085",112,90,91,387,405,57,160.28281771844,-1.48464221284408,0.263932181134367,-5.62508977292259,1.8541152488589e-08,1.26463459597107e-07
"SAOUHSC_00086",5113,4850,2269,9280,17970,10209,10895.0562750666,-2.39737658950207,0.649513735952933,-3.69103293248257,0.000223345215019151,0.000678875851472646
"SAOUHSC_00087",3,4,6,2,4,0,2.57538656127472,1.30724774379836,1.18396243591413,1.10412940828569,0.269537005938716,0.357783997206908
"SAOUHSC_00088",80,46,63,45,32,3,37.1860152548589,1.32673644789908,0.468148505999046,2.83400765119986,0.0045968231384111,0.0102408747563066
"SAOUHSC_00089",48,38,41,35,22,11,31.4290086858552,0.660432045131409,0.518316301188608,1.27418729377583,0.202597047195826,0.283176863989385
"SAOUHSC_00090",114,70,73,22,37,7,46.9462027429013,1.92277908337758,0.390554782896018,4.9231994270302,8.51406074277068e-07,4.25866141750465e-06
"SAOUHSC_00091",102,53,73,46,63,4,46.1597940694802,1.14075834152134,0.420987683396237,2.70971904051561,0.00673402243042339,0.0143530878088453
"SAOUHSC_00092",1106,764,826,1067,1701,137,753.74478504208,0.0744324069305723,0.304966017589832,0.244067871951167,0.807178254669777,0.849472963701245
"SAOUHSC_00093",4023,2423,2816,1208,1224,338,1788.99500524563,1.51745329553841,0.328996064981106,4.61237521374476,3.98093540730889e-06,1.75875166641007e-05
"SAOUHSC_00094",70647,59867,47328,38075,58503,15885,45357.8705614004,0.370199957077657,0.375648598180835,0.98549537751621,0.324380800882003,0.413958099268285
"SAOUHSC_00096",1888,1345,1410,1240,1334,249,1090.94702761064,0.666153013039267,0.222901475810494,2.98855362270286,0.00280301309614202,0.00655207447988077
"SAOUHSC_00097",6006,6166,3689,1282,2826,344,2909.18872205317,1.87081292478422,0.334097419043313,5.59960304434942,2.14843196348968e-08,1.44204520737058e-07
"SAOUHSC_00099",11013,12207,7924,3293,5411,350,5619.82322490839,2.03852946448568,0.379646364672652,5.36954822744949,7.89341268729523e-08,4.78183306879997e-07
"SAOUHSC_00100",14801,14922,11118,6061,8485,3705,9740.13899920207,0.636239807980046,0.504495257218538,1.26114130683381,0.207257940542217,0.287692973288532
"SAOUHSC_00101",19071,21718,12674,12680,16509,6257,14669.1202218473,0.161819276512414,0.470031394585929,0.344273336582054,0.730640734396957,0.792235447471119
"SAOUHSC_00102",310,169,166,127,78,24,127.736912688847,1.3353379683,0.401240318412459,3.32802539282037,0.000874638938602342,0.0023231762651991
"SAOUHSC_00103",174,90,111,60,67,4,68.7881239264458,1.64823815688777,0.412941172583755,3.99145996165705,6.56677762239844e-05,0.0002220965851306
